Year,T
2011,17.56
2011,7.05
2011,13.66
2011,20.08
2011,10.59
2011,10.21
2011,13.13
2011,14.41
2011,16.78
2011,7.88
2011,7.16
2011,11.16
2011,17.45
2011,10.87
2011,10.08
2011,13.91
2011,17.47
2011,17.8
2011,10.79
2011,10.66
2011,16.93
2011,21.41
2011,21.7
2011,21.39
2011,20.67
2011,21.66
2011,21.57
2011,19.67
2011,17.04
2011,22.52
2011,20.3
2011,10.78
2011,11.41
2011,11.32
2011,9.2
2011,14.15
2011,21.28
2011,21.91
2011,24.13
2011,15.74
2011,14.19
2011,19.16
2011,22
2011,24.91
2011,25.33
2011,25.26
2011,19.38
2011,18.39
2011,19.16
2011,22.77
2011,16.79
2011,15.46
2011,19.5
2011,26.2
2011,26.26
2011,19.96
2011,22.3
2011,26.16
2011,26.07
2011,24.2
2011,23.9
2011,20.89
2011,17.67
2011,17.51
2011,21.28
2011,24.06
2011,14.94
2011,9.97
2011,13.18
2011,16.12
2011,18.43
2011,21.1
2011,24.25
2011,26.57
2011,27.29
2011,24.86
2011,22.59
2011,22.63
2011,19.26
2011,15.76
2011,16.82
2011,17.24
2011,20.35
2011,24.36
2011,25.68
2011,24.96
2011,25.86
2011,26.22
2011,25.92
2011,27.06
2011,25.23
2011,21.2
2011,26.05
2011,29.22
2011,28.57
2011,28.4
2011,28
2011,28.86
2011,29.2
2011,30.12
2011,29.7
2011,31.13
2011,30.59
2011,30.92
2011,30.55
2011,30.59
2011,30.79
2011,31.13
2011,31.67
2011,32.43
2011,32.44
2011,32.25
2011,32.7
2011,33.51
2011,34.02
2011,33.52
2011,30.12
2011,28.19
2011,26.91
2011,28.3
2011,29.44
2011,30.07
2011,30.63
2011,31.31
2011,31.48
2011,31.68
2011,32.28
2011,32.39
2011,33.07
2011,33.75
2011,34.09
2011,34.25
2011,34.26
2011,34.08
2011,35.67
2011,34.68
2011,33.13
2011,34.09
2011,34.7
2011,35.28
2011,35.42
2011,35.81
2011,34.84
2011,34.58
2011,34.47
2011,34.57
2011,33.74
2011,34.52
2011,34.31
2011,33.62
2011,35.04
2011,35.36
2011,34.44
2011,35.5
2011,34.66
2011,33.92
2011,33.08
2011,35.25
2011,36.81
2011,37.5
2011,37.91
2011,37.73
2011,36.45
2011,35.75
2011,35.9
2011,35.69
2011,35.95
2011,35.08
2011,33.13
2011,33.6
2011,27.77
2011,31.64
2011,32.73
2011,33.71
2011,33.76
2011,34.62
2011,35.26
2011,36.35
2011,35.27
2011,35.34
2011,35.83
2011,35.72
2011,33.71
2011,35.19
2011,35.12
2011,34.86
2011,34.86
2011,33.31
2011,34.37
2011,33.47
2011,33.68
2011,31.65
2011,30.2
2011,24.5
2011,24.01
2011,24.54
2011,24.77
2011,24.77
2011,27.25
2011,28.31
2011,30.28
2011,33.52
2011,31.6
2011,22.94
2011,24.02
2011,25.55
2011,26.37
2011,23.13
2011,23.59
2011,25.59
2011,21.06
2011,20.25
2011,23.87
2011,26.23
2011,24.06
2011,26.2
2011,27.07
2011,28.87
2011,22.83
2011,20.69
2011,20.22
2011,21.14
2011,21.72
2011,22.47
2011,25.17
2011,26.82
2011,24.61
2011,20.46
2011,19.44
2011,21.82
2011,21.69
2011,18.76
2011,20.32
2011,21.31
2011,21.14
2011,21.67
2011,14.15
2011,12.12
2011,14.12
2011,17.5
2011,20.49
2011,19.78
2011,18.93
2011,20.9
2011,20.82
2011,12.85
2011,10.82
2011,11.16
2011,13.62
2011,16.14
2011,16.97
2011,16.64
2011,7.96
2011,8.87
2011,12.89
2011,19.77
2011,20.64
2011,18.5
2011,9.82
2011,9.82
2011,11.15
2011,15.07
2011,20.14
2011,21.69
2011,21.35
2011,14.49
2011,7.33
2011,11.41
2011,20.2
2011,16.41
2011,11.04
2011,9.71
2011,11.2
2011,10.38
2011,13.95
2011,12.93
2011,5.15
2011,4.81
2011,6.94
2011,6.3
2011,10.19
2011,11.39
2011,13.84
2011,5.86
2011,3.18
2011,-0.73
2011,-0.27
2011,2.91
2011,4.67
2011,4.51
2011,4.62
2011,6.91
2011,11.6
2011,16.75
2011,9.24
2011,5.77
2011,6.13
2011,9.23
2011,12.43
2011,6.45
2011,5.23
2011,7.98
2011,4.21
2011,4.2
2011,5.14
2011,5.05
2011,5.68
2011,6.75
2011,7.7
2011,10.45
2011,11.23
2012,6.99
2012,3.99
2012,5.13
2012,6.34
2012,8.64
2012,12.39
2012,9.18
2012,9.42
2012,6.9
2012,5.8
2012,7.46
2012,0.19
2012,3.69
2012,7.16
2012,8.71
2012,16.52
2012,7.47
2012,3.52
2012,10.17
2012,12.39
2012,4.55
2012,11.13
2012,8.27
2012,10.09
2012,9.4
2012,8.47
2012,9.59
2012,5.4
2012,6.67
2012,10.73
2012,16.02
2012,13.25
2012,14.13
2012,18.17
2012,8.57
2012,4.59
2012,6.44
2012,8.94
2012,4.65
2012,6.15
2012,7.96
2012,-0.84
2012,0.85
2012,3.11
2012,8.6
2012,13.73
2012,8.5
2012,10.54
2012,9
2012,8.37
2012,9.67
2012,11.12
2012,15.36
2012,15.17
2012,8.31
2012,8.76
2012,9.51
2012,13.3
2012,17.76
2012,16.2
2012,16.27
2012,14.23
2012,9.06
2012,11.65
2012,14.32
2012,15.51
2012,18.86
2012,14.41
2012,7.52
2012,9.69
2012,12.83
2012,16.41
2012,19.21
2012,20.37
2012,21.08
2012,20.6
2012,20.86
2012,20.76
2012,21.02
2012,12.69
2012,12.39
2012,11.79
2012,14.51
2012,17.93
2012,19.11
2012,19.44
2012,19.19
2012,19.76
2012,19.77
2012,20.49
2012,21.36
2012,22.9
2012,21.77
2012,20
2012,16.44
2012,16.6
2012,18.14
2012,20.33
2012,20.09
2012,19.71
2012,21.85
2012,21.17
2012,19.88
2012,21.88
2012,23.37
2012,19.46
2012,16.19
2012,17.22
2012,17.78
2012,19.09
2012,16.15
2012,15.16
2012,17.74
2012,16.09
2012,19.54
2012,22.89
2012,24.01
2012,24.14
2012,24.05
2012,23.32
2012,24.16
2012,24.28
2012,24.34
2012,25.41
2012,25.95
2012,26.33
2012,25.13
2012,24.4
2012,19.58
2012,20.7
2012,21.41
