Year,T,H,P
1990,16.32,3.5,0
1990,19.96,5.24,0
1990,20.18,4.56,0
1990,19.5,3.93,0
1990,20.4,3.65,0
1990,20.4,4.31,0
1990,16.42,6.14,0
1990,16.37,6.06,0
1990,17.29,5.47,0.01
1990,15.84,7.86,0
1990,14.67,7.95,0.12
1990,12.89,8.1,6.63
1990,12.13,5.68,1.16
1990,11,4.05,0
1990,14.05,3.35,0
1990,15.97,3.43,0.01
1990,16.51,3.79,0
1990,14.33,5.73,0.59
1990,9.28,4.13,1.8
1990,8.8,2.44,0
1990,11.37,2.69,0
1990,12.83,2.89,0
1990,12.97,3.44,0
1990,12.38,3,0
1990,13.25,2.77,0
1990,13.55,2.43,0
1990,13.64,2.92,0.01
1990,13.66,2.73,0
1990,15.01,2.8,0
1990,14,2.69,0
1990,13.91,2.67,0
1990,15.66,2.9,0
1990,14.47,3.97,0
1990,12.81,6.31,0.45
1990,12,7.01,0.48
1990,10.78,5.92,0.11
1990,8.91,3.23,0
1990,9.25,4.45,0.07
1990,7.46,4.06,0
1990,8.07,3.06,0
1990,9.57,4.3,0.02
1990,7.46,5.07,0.88
1990,4.49,3.3,0.12
1990,1.89,2.34,0.01
1990,1.51,1.16,0
1990,2.56,1.08,0.01
1990,4.93,1.42,0.02
1990,6.66,1.87,0
1990,7.66,2.25,0.02
1990,8.9,2.53,0
1990,9.05,4.19,0
1990,7.23,3.26,0
1990,6.15,1.14,0
1990,8.28,1.57,0
1991,11.57,2.24,0.04
1991,13.25,3.57,6.48
1991,10.46,6.95,20.84
1991,10.96,7.86,5.36
1991,10.91,6.12,0.34
1991,10.3,5.94,0.01
1991,10.41,5.51,0.07
1991,9.42,5.46,2.15
1991,8.06,5.86,5.86
1991,9.73,5.06,0
1991,11.79,4.67,0
1991,13.34,4.75,0
1991,14.22,5.1,0
1991,14.67,4.71,0
1991,13.35,5.01,0
1991,11.5,3.44,0
1991,11.37,3.3,0
1991,12.41,4.71,0
1991,10.97,4.86,0.07
1991,10.56,4.08,0.36
1991,9.11,4,0.5
1991,9.22,2.66,0
1991,9.96,3.94,0.04
1991,9.6,5.21,0
1991,10.37,4.34,0
1991,10.92,4.82,0
1991,10.52,4.66,0
1991,8.93,4.8,0
1991,8.22,2.77,0
1991,9.91,2.84,0
1991,10.89,2.9,0
1991,13.18,3.29,0
1991,12,4.06,0.02
1991,12.44,5.4,0
