Year,T
2007,26.27
2007,26.9
2007,26.88
2007,27.36
2007,27.26
2007,27.36
2007,26.4
2007,24.23
2007,25.71
2007,26.6
2007,26.07
2007,24.04
2007,23.73
2007,25.46
2007,26.21
2007,24.63
2007,24.71
2007,24.61
2007,24.59
2007,25.32
2007,26.29
2007,26.48
2007,26.36
2007,25.93
2007,24.37
2007,25.7
2007,26.32
2007,24.85
2007,24.43
2007,25.54
2007,26.1
2007,26.21
2007,25.97
2007,26.1
2007,26.56
2007,23.73
2007,22.03
2007,21.31
2007,21.11
2007,23.08
2007,24.47
2007,23.54
2007,25.79
2007,25.38
2007,20.01
2007,20.37
2007,22.33
2007,16.94
2007,13.03
2007,14.06
2007,11.88
2007,13.78
2007,13.97
2007,15.13
2007,15.03
2007,15.73
2007,19.07
2007,20.01
2007,20.02
2007,19.51
2007,19.42
2007,20.45
2007,18.79
2007,13.88
2007,17.49
2007,21.3
2007,21.38
2007,21.02
2007,21.6
2007,22.34
2007,22.62
2007,13.99
2007,12.49
2007,18.72
2007,20.32
2007,20.05
2007,20.51
2007,20.37
2007,8.19
2007,7.43
2007,6.93
2007,6.84
2007,6.58
2007,8.48
2007,12.14
2007,13.86
2007,15.7
2007,18.85
2007,20.83
2007,8.41
2007,7.35
2007,12.99
2007,13.22
2007,19.45
2007,21.69
2007,21.15
2007,20.3
2007,21.96
2007,14.47
2007,10.72
2007,14.77
2007,12.94
2007,3.85
2007,6.02
2007,14.47
2007,17.68
2007,17.35
2007,12.69
2007,14.52
2007,4.01
2007,6.38
2007,6.9
2007,11.23
2007,7.77
2007,10.95
2007,8.06
2007,10.06
2007,10.54
2008,5.42
2008,1.54
2008,1.53
2008,10.39
2008,16.83
2008,18.37
2008,19.77
2008,17.77
2008,11.88
2008,13.9
2008,9.19
2008,11.66
2008,8.9
2008,9.28
2008,9.88
2008,10
2008,6.57
2008,3.49
2008,3.15
2008,2.45
2008,9.52
2008,14.74
2008,7.4
2008,6.58
2008,4.65
2008,8.76
2008,7.94
2008,13.89
2008,15.41
2008,6.33
2008,11.8
2008,5.47
2008,13.58
2008,19.75
2008,20.47
2008,20.49
2008,8.38
2008,9.55
2008,12.22
2008,14.97
2008,14.98
2008,16.57
2008,14.59
2008,7.61
2008,13.26
2008,18.04
2008,19.37
2008,12.66
2008,9.85
2008,10.83
2008,16.57
2008,18.87
2008,11.2
2008,11.58
2008,15.97
2008,16.56
2008,10.49
2008,7.03
2008,12.74
2008,17.75
2008,17.76
2008,19.04
2008,15.49
2008,7.91
2008,12.22
2008,12.22
2008,5.49
2008,6.77
2008,13.15
2008,14.66
2008,12.27
2008,14.19
2008,16.57
2008,20.94
2008,18.35
2008,17.14
2008,22.18
2008,21.28
2008,12.88
2008,12.7
2008,14.68
2008,17.23
2008,14.72
2008,12.11
2008,15.23
2008,19.22
2008,20.11
2008,20.62
2008,21.29
2008,22.54
2008,22.62
2008,23.45
2008,22.31
2008,23.01
2008,19.55
2008,15.47
2008,17.71
2008,20.53
2008,22.85
2008,22.72
2008,24.52
2008,20.88
2008,15.98
2008,14.85
2008,12.12
2008,14.6
2008,18.13
2008,21.03
2008,17.08
2008,18.08
2008,19.5
2008,24.03
2008,24.36
2008,24.22
