Year,T
2006,15.88
2006,17.46
2006,19.49
2006,20.95
2006,20.94
2006,19.07
2006,12.25
2006,14.06
2006,17.39
2006,14.56
2006,14.27
2006,18.78
2006,22.05
2006,15.17
2006,13.79
2006,12.41
2006,10.14
2006,8.95
2006,10.95
2006,15.18
2006,16.22
2006,18.57
2006,20.06
2006,21.25
2006,23.25
2006,23.47
2006,20.42
2006,17.92
2006,20.34
2006,22.08
2006,22.58
2006,17.17
2006,16.19
2006,18.08
2006,19.81
2006,19.81
2006,22.09
2006,23.78
2006,23.43
2006,24.92
2006,22.67
2006,24.15
2006,24.27
2006,24.63
2006,23.75
2006,24.64
2006,25.23
2006,25.38
2006,24.45
2006,23.2
2006,20.08
2006,20.27
2006,18.51
2006,19.86
2006,21.44
2006,24.06
2006,26.03
2006,24.43
2006,26.34
2006,26.06
2006,24.37
2006,22.7
2006,24.6
2006,23.85
2006,21.06
2006,22.33
2006,24.48
2006,22.83
2006,19.59
2006,21.24
2006,22.89
2006,25
2006,27.69
2006,28.33
2006,28.23
2006,28.29
2006,28.09
2006,28.31
2006,28.42
2006,29.4
2006,28.24
2006,26.04
2006,25.62
2006,26.16
2006,26.41
2006,27.22
2006,25.3
2006,27.32
2006,27.17
2006,25.39
2006,26.21
2006,28.1
2006,29.42
2006,31
2006,29.76
2006,24.46
2006,25.53
2006,27
2006,28.59
2006,26.24
2006,25.62
2006,24.83
2006,25.91
2006,28.12
2006,28.47
2006,28.11
2006,27.8
2006,27.31
2006,25.74
2006,26.4
2006,27.11
2006,27.67
2006,27.88
2006,28.05
2006,27.59
2006,27.34
2006,28
2006,27.81
2006,27.92
2006,28.96
2006,24.72
2006,25.11
2006,24.79
2006,26.82
2006,27.64
2006,27.53
2006,28.49
2006,29.43
2006,30.89
2006,30.35
2006,28
2006,28.83
2006,28.38
2006,27.92
2006,28.62
2006,28.96
2006,27.21
2006,26.79
2006,28.15
2006,29.12
2006,29.27
2006,29.04
2006,28.57
2006,26.93
2006,27.38
2006,29.28
2006,30.24
2006,30.35
2006,28.31
2006,28.6
2006,29.24
2006,29.35
2006,28.83
2006,29.71
2006,30.64
2006,30.18
2006,29.11
2006,26.69
2006,27.4
2006,27.63
2006,27.92
2006,28.51
2006,28.38
2006,28.06
2006,28.68
2006,29.15
2006,28.84
2006,28.86
2006,27.15
2006,26.99
2006,27.48
2006,28.16
2006,29.08
2006,30.2
2006,27.64
2006,27.4
2006,27.96
2006,28.5
